S.No,District,Peak Sowing Season for Kar/Kuruvai/Sornavari Rice variety,Peak Harvesting Season for Kar/Kuruvai/Sornavari Rice variety,Peak Sowing Season for Samba/Thaladi/Pishanam Rice variety,Peak Harvesting Season for Samba/Thaladi/ Pishanam Rice variety,Peak Sowing Season for Navarai/Kodai Rice variety,Peak Harvesting Season for Navarai/Kodai Rice variety
1,Kancheepuram,June-July,September-October,November,January-February,January,March -April
2,Thiruvallur,June-July,September-October,August-September,December-January,December-January,March -April
3,Cuddalore,May-June,August-September,August-September,December-January,December-January,March -April
4,Villupuram,May-June,August-September,August-September,December-January,December-January,March -April
5,Vellore,May-June,August-September,August-September,December-January,January,March -April
6,Tiruvannamalai ,May-June,August-September,September-October,December-January,January,March -April
7,Salem,May-June,August-September,September-October,December-January,January,March -April
8,Namakkal,May-June,August-September,September-October,December-January,January,March -April
9,Dharmapuri,May-June,August-September,September-October,December-January,January,March -April
10,Krishnagiri,June,September,October-November,January-February,January,March -April
11,Coimbatore,June-July,September-October,October-November,January-February,NA,NA
12,Tiruppur,June-July,September-October,October-November,January-February,NA,NA
13,Erode,July,October,October-November,January-February,January,March-April
14,Tiruchirappalli,June,September-October,October-November,January-February,January,March-April
15,Karur,NA,NA,October-November,January-February,January,March-April
16,Perambalur,June,September-October,October-November,January-February,January,March-April
17,Ariyalur,June,September-October,October-November,January-February,January,March-April
18,Pudukkottai,June,September-October,October-November,January-February,NA,NA
19,Thanjavur,April-May,July-August,September-October,December-January,January,March-April
20,Tiruvarur,July,October,October-November,January-February,January,April
21,Nagappattinam,May-June,September-October,October-November,January-February,January,April
22,Madurai,July,October,October,January,January,April
23,Theni,July,October,October,January-February,NA,NA
24,Dindugul,July,October,October,January-February,January,April
25,Ramanathapuram,NA,NA,October,February,NA,NA
26,Virudhunagar,NA,NA,October-November,January-February,NA,NA
27,Sivaganga,NA,NA,October-November,January-February,NA,NA
28,Tirunelveli ,June-July,October,September-October,February-March,January,April
29,Thoothukudi,July,October,November,February,January,April
30,The Nilgiris,NA,NA,August,December,NA,NA
31,Kanniyakumari,June-July,September-October,October-November,February-March,NA,NA
