,Crops
paddy,816
groundnut,261
foxtail millet,210
red gram,169
non-basmati paddy,97
green gram,91
banana,72
onion,55
tomato,49
blackgram,46
sesame,46
brinjal,42
paddy-sona masuri,36
sweet orange,34
lemon,31
ridge gourd,29
paddy (bpt),29
okra,26
urad,25
jowar,24
cashew,23
cotton,21
horse gram,19
mango,19
chilli,16
bengal gram,16
sorghum,15
finger millet,15
coriander,15
carrot,14
pomegranate (fresh),13
varigalu,13
vacant,13
leafy,12
chikkudu,12
bitter gourd,12
bottle gourd,11
ragi,9
menthi,8
orange,7
paddy (ir-64),6
guava,6
spinach,6
black sesame,6
mint,6
clusterbeans,5
maize,5
sugarcane,5
amaranthus,5
sunflower,5
beetroot',4
radish,4
cabbage,4
bendi,4
red onion,3
mustard,3
andukorra,2
proso millet,2
garlic,2
snake gourd,2
ginger,2
palak,2
sweetcorn,2
barigalu,1
brinjal purple long,1
donda,1
dosa,1
keera,1
sweet,1
cumin whole,1
shahi jeera/cumin,1
cumin,1
papaya,1
